Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
-9,-90.1953,-0.662118,97.5588,45.2534,42.0475,103.256,-90.1852,-0.705082
-10,-90.1522,-0.674078,105.404,51.3726,36.0405,111.363,-90.0936,-0.731059
-11,-90.0848,-0.695283,205.062,61.2029,37.7568,211.329,-90.0191,-0.746195
Playa Roja (lat -0.41  lon -90.72),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.7263,-0.40828,7.44065,0.896352,5.14902,7.88,-90.7263,-0.408279
-1,-90.6744,-0.450577,14.3192,4.20526,78.9511,15.6387,-90.6738,-0.46596
-2,-90.6294,-0.493081,20.82,8.78775,122.717,23.7842,-90.6378,-0.511085
-3,-90.5805,-0.525169,25.8855,11.898,121,31.2422,-90.584,-0.553309
-4,-90.5412,-0.548178,29.8499,13.4037,125.29,36.4346,-90.528,-0.595736
-5,-90.5066,-0.556979,34.5158,13.9493,106.41,42.2784,-90.4598,-0.619729
-6,-90.4668,-0.570575,40.7874,16.0513,83.2395,49.4001,-90.4014,-0.667021
-7,-90.4202,-0.602318,46.8454,21.6092,88.3863,56.189,-90.3018,-0.747985
-8,-90.3712,-0.626332,52.773,27.6047,92.676,63.0394,-90.1703,-0.797089
-9,-90.3202,-0.641788,58.582,34.343,88.3838,69.7412,-90.0311,-0.801891
-10,-90.2696,-0.654861,63.772,41.4746,81.5179,75.7921,-89.9159,-0.814165
-11,-90.2234,-0.662343,125.275,47.9394,78.9421,139.235,-89.8194,-0.828733
Sombrero Chino (lat -0.35  lon -90.57),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.5672,-0.350786,3.59325,0.901198,5.14905,5.65167,-90.568,-0.349951
-1,-90.5634,-0.382905,8.43215,4.90493,75.5191,11.2853,-90.5557,-0.388201
-2,-90.5459,-0.422757,12.8137,8.49851,79.8095,17.7684,-90.5343,-0.433457
-3,-90.5274,-0.457572,14.5238,11.2553,84.9583,21.7543,-90.5019,-0.440997
-4,-90.5202,-0.471192,15.4039,12.5932,69.5113,24.7062,-90.4814,-0.427255
-5,-90.513,-0.474428,16.764,12.8406,65.2205,27.0349,-90.4448,-0.447473
-6,-90.5011,-0.471622,18.3484,12.655,48.0574,29.427,-90.408,-0.467659
-7,-90.4868,-0.471942,19.7124,12.7435,50.6317,31.33,-90.3697,-0.481171
-8,-90.4751,-0.475673,20.9181,13.1719,51.4899,32.9719,-90.2988,-0.502485
-9,-90.4656,-0.480949,22.2544,13.684,52.3478,34.8432,-90.2143,-0.572854
-10,-90.4552,-0.486978,23.7352,14.6899,54.0638,36.7548,-90.1346,-0.613163
-11,-90.4421,-0.489329,44.5709,16.0044,64.3612,61.6857,-90.0086,-0.617928
Daphne Mayor (lat -0.43  lon -90.37),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.3722,-0.424944,4.02471,1.06257,7.72351,6.70825,-90.3722,-0.424944
-1,-90.3512,-0.454442,8.57044,5.38178,83.2421,11.7841,-90.3306,-0.44328
-2,-90.3309,-0.489976,10.6623,6.51686,73.8018,14.7012,-90.2873,-0.479392
-3,-90.3225,-0.506791,12.1955,7.60675,51.4893,16.8751,-90.2617,-0.520049
-4,-90.3129,-0.516729,14.0919,9.40067,38.6167,19.1243,-90.2068,-0.547398
-5,-90.2993,-0.527124,16.3282,11.9949,30.0349,21.7452,-90.0968,-0.613062
-6,-90.2839,-0.540065,18.4547,15.2961,34.3251,24.2753,-89.9495,-0.709177
-7,-90.2666,-0.548207,20.9494,18.6561,31.7505,27.2518,-89.8675,-0.727715
-8,-90.2478,-0.560506,24.2426,22.5598,34.3245,30.9081,-89.8204,-0.773559
-9,-90.2216,-0.574361,27.2007,27.4421,35.1819,34.0869,-89.7153,-0.839489
-10,-90.1951,-0.577041,29.6955,31.3631,34.3238,36.8165,-89.615,-0.85713
-11,-90.1727,-0.577913,57.5639,34.7534,29.1751,66.987,-89.5142,-0.846901
Islas Plaza (lat -0.57  lon -90.17),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.1687,-0.563026,6.62887,0.934905,5.1489,6.76661,-90.1694,-0.563819
-1,-90.1578,-0.621691,11.7849,4.22415,32.6093,12.6647,-90.1542,-0.627943
-2,-90.124,-0.653397,18.4976,6.97697,66.9345,20.4835,-90.1113,-0.656919
-3,-90.0706,-0.681747,26.9011,9.2495,82.3807,29.9887,-90.0823,-0.665064
-4,-89.9971,-0.699505,38.3123,9.88064,108.982,41.8377,-90.0173,-0.684671
-5,-89.895,-0.710735,49.9554,10.928,108.123,54.0203,-89.9299,-0.696401
-6,-89.7905,-0.718137,60.8394,11.1117,109.839,65.469,-89.8378,-0.721866
-7,-89.6925,-0.717046,70.1811,10.281,111.555,75.237,-89.7524,-0.752415
-8,-89.6091,-0.727666,77.9236,10.3016,100.4,83.0974,-89.6644,-0.784007
-9,-89.5422,-0.747199,84.0445,10.2183,103.832,89.3168,-89.5683,-0.800952
-10,-89.49,-0.764667,87.9962,9.03162,82.3783,93.6339,-89.4755,-0.828061
-11,-89.4564,-0.776284,170.996,8.52269,56.6345,176.817,-89.4007,-0.845574
Bahía Santa fe (lat -0.80  lon -90.05),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.0464,-0.787408,5.11436,0.973413,6.00677,6.02669,-90.0463,-0.789722
-1,-90.0062,-0.809797,15.5942,5.86886,70.3647,16.9961,-89.9913,-0.800668
-2,-89.9197,-0.847434,25.3274,16.9804,105.546,27.5644,-89.8598,-0.851826
-3,-89.8333,-0.861758,35.8189,26.3467,111.551,39.0563,-89.7344,-0.880129
-4,-89.7403,-0.877964,48.7129,35.1007,127.853,52.7739,-89.6299,-0.903663
-5,-89.6249,-0.890925,63.9437,39.9965,153.594,68.5684,-89.5368,-0.911199
-6,-89.4879,-0.894099,79.6694,42.8835,142.439,85.0971,-89.4542,-0.906113
-7,-89.3472,-0.909917,97.625,45.5598,158.742,103.341,-89.3232,-0.920148
-8,-89.1911,-0.951465,113.537,48.7464,166.769,119.412,-89.1339,-0.982668
-9,-89.0519,-0.98541,127.479,52.591,196.071,133.625,-88.9418,-1.02995
-10,-88.9304,-1.0165,139.788,56.8957,210.825,146.374,-88.8014,-1.06884
-11,-88.8215,-1.03724,278.535,63.0314,235.152,286.206,-88.6657,-1.09989
Las Cuevas (lat -1.25  lon -90.37),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
0,-90.3686,-1.24629,18.3731,0.934816,5.14793,18.701,-90.3694,-1.24708
-1,-90.2215,-1.32187,41.2292,4.97393,88.3705,41.9118,-90.2369,-1.3027
-2,-90.0246,-1.38141,60.6717,9.22879,113.249,61.908,-90.0404,-1.33981
-3,-89.8563,-1.42952,76.0324,13.4522,111.531,78.8837,-89.8447,-1.37083
