"","Start","End","Flat","Flon","Tlat","Tlon","Calcdistance"
"372","CMAR","PROJ",-0.00133333333333333,-91.22385,-0.40895,-90.7155333333333,73236.625953135
"373","CORA","PROJ",0.311316666666667,-89.97515,-0.40895,-90.7155333333333,119096.446708197
"374","CUEV","PROJ",-1.25335,-90.3741,-0.40895,-90.7155333333333,102317.638315091
"375","DAPH","PROJ",-0.4258,-90.3721166666667,-0.40895,-90.7155333333333,39744.7586191621
"376","EGAS","PROJ",-0.2596,-90.8687833333333,-0.40895,-90.7155333333333,25975.7168098729
"377","ELI","PROJ",-0.59505,-91.0859,-0.40895,-90.7155333333333,206080.330106339
"378","GARD","PROJ",-1.36546666666667,-89.6393166666667,-0.40895,-90.7155333333333,164954.712530929
"379","PCAL","PROJ",0.286433333333333,-90.5018166666667,-0.40895,-90.7155333333333,92175.2429653725
"380","PESP","PROJ",-0.272283333333333,-91.4353833333333,-0.40895,-90.7155333333333,165765.606633571
"381","PIN","PROJ",0.603883333333333,-90.7898333333333,-0.40895,-90.7155333333333,122918.333200008
"382","PLAZ","PROJ",-0.567566666666667,-90.1736166666667,-0.40895,-90.7155333333333,67156.3038491727
"383","PMAN","PROJ",-0.458566666666667,-91.3908333333333,-0.40895,-90.7155333333333,189337.110971036
"384","PMOR","PROJ",-0.7223,-91.3450666666667,-0.40895,-90.7155333333333,173236.59474818
"385","PROJ","PROJ",-0.40895,-90.7155333333333,-0.40895,-90.7155333333333,0
"386","PVIC","PROJ",-0.0453666666666667,-91.5430166666667,-0.40895,-90.7155333333333,139909.702928558
"387","RED","PROJ",0.2706,-91.6264833333333,-0.40895,-90.7155333333333,129591.882900025
"388","SOMB","PROJ",-0.350816666666667,-90.5685,-0.40895,-90.7155333333333,19838.8176399722
"389","STAFE","PROJ",-0.799483333333333,-90.04745,-0.40895,-90.7155333333333,96024.0807713045
"390","SUAR","PROJ",-1.35056666666667,-89.7104333333333,-0.40895,-90.7155333333333,156777.04139463
"391","TOR","PROJ",-1.01171666666667,-90.8767,-0.40895,-90.7155333333333,70639.8268126585
