"","Start","End","Flat","Flon","Tlat","Tlon","Calcdistance"
"229","SUAR","GARD",-1.35056666666667,-89.7104333333333,-1.36546666666667,-89.6393166666667,10568.6057949885
"230","TOR","GARD",-1.01171666666667,-90.8767,-1.36546666666667,-89.6393166666667,148277.239732514
"231","BAR","PCAL",-1.03875,-91.1563666666667,0.286433333333333,-90.5018166666667,180324.874081443
"232","CDOU","PCAL",-0.302816666666667,-91.6517333333333,0.286433333333333,-90.5018166666667,165931.306263147
"233","CHAM","PCAL",-0.469583333333333,-91.6111833333333,0.286433333333333,-90.5018166666667,186371.398030093
"234","CMAR","PCAL",-0.00133333333333333,-91.22385,0.286433333333333,-90.5018166666667,87702.0116386167
"235","CORA","PCAL",0.311316666666667,-89.97515,0.286433333333333,-90.5018166666667,59523.0259493663
"236","CUEV","PCAL",-1.25335,-90.3741,0.286433333333333,-90.5018166666667,176065.007283023
"237","DAPH","PCAL",-0.4258,-90.3721166666667,0.286433333333333,-90.5018166666667,82198.8905900042
"238","EGAS","PCAL",-0.2596,-90.8687833333333,0.286433333333333,-90.5018166666667,74496.0124158563
"239","ELI","PCAL",-0.59505,-91.0859,0.286433333333333,-90.5018166666667,219531.471311868
"240","GARD","PCAL",-1.36546666666667,-89.6393166666667,0.286433333333333,-90.5018166666667,207289.118830724
"241","PCAL","PCAL",0.286433333333333,-90.5018166666667,0.286433333333333,-90.5018166666667,0
"242","PESP","PCAL",-0.272283333333333,-91.4353833333333,0.286433333333333,-90.5018166666667,166730.590809725
"243","PIN","PCAL",0.603883333333333,-90.7898333333333,0.286433333333333,-90.5018166666667,48955.6452638677
"244","PLAZ","PCAL",-0.567566666666667,-90.1736166666667,0.286433333333333,-90.5018166666667,103150.871671009
"245","PMAN","PCAL",-0.458566666666667,-91.3908333333333,0.286433333333333,-90.5018166666667,190302.095147178
"246","PMOR","PCAL",-0.7223,-91.3450666666667,0.286433333333333,-90.5018166666667,219658.257035203
"247","PROJ","PCAL",-0.40895,-90.7155333333333,0.286433333333333,-90.5018166666667,92175.243838222
"248","PVIC","PCAL",-0.0453666666666667,-91.5430166666667,0.286433333333333,-90.5018166666667,140874.687104739
"249","RED","PCAL",0.2706,-91.6264833333333,0.286433333333333,-90.5018166666667,125665.334188732
"250","SOMB","PCAL",-0.350816666666667,-90.5685,0.286433333333333,-90.5018166666667,72336.4253253818
"251","STAFE","PCAL",-0.799483333333333,-90.04745,0.286433333333333,-90.5018166666667,131795.084532156
"252","SUAR","PCAL",-1.35056666666667,-89.7104333333333,0.286433333333333,-90.5018166666667,201991.939809937
"253","TOR","PCAL",-1.01171666666667,-90.8767,0.286433333333333,-90.5018166666667,153281.532747985
"254","BAR","PESP",-1.03875,-91.1563666666667,-0.272283333333333,-91.4353833333333,125077.227256179
"255","CDOU","PESP",-0.302816666666667,-91.6517333333333,-0.272283333333333,-91.4353833333333,25875.9476186677
"256","CHAM","PESP",-0.469583333333333,-91.6111833333333,-0.272283333333333,-91.4353833333333,46670.76800231
"257","CMAR","PESP",-0.00133333333333333,-91.22385,-0.272283333333333,-91.4353833333333,93908.0114130493
"258","CORA","PESP",0.311316666666667,-89.97515,-0.272283333333333,-91.4353833333333,225821.219564605
"259","CUEV","PESP",-1.25335,-90.3741,-0.272283333333333,-91.4353833333333,215702.210048862
"260","DAPH","PESP",-0.4258,-90.3721166666667,-0.272283333333333,-91.4353833333333,198177.309218145
"261","EGAS","PESP",-0.2596,-90.8687833333333,-0.272283333333333,-91.4353833333333,141848.3602448
"262","ELI","PESP",-0.59505,-91.0859,-0.272283333333333,-91.4353833333333,53200.9552246535
"263","GARD","PESP",-1.36546666666667,-89.6393166666667,-0.272283333333333,-91.4353833333333,301161.86102737
"264","PCAL","PESP",0.286433333333333,-90.5018166666667,-0.272283333333333,-91.4353833333333,166730.590809725
"265","PESP","PESP",-0.272283333333333,-91.4353833333333,-0.272283333333333,-91.4353833333333,0
"266","PIN","PESP",0.603883333333333,-90.7898333333333,-0.272283333333333,-91.4353833333333,148833.154070654
"267","PLAZ","PESP",-0.567566666666667,-90.1736166666667,-0.272283333333333,-91.4353833333333,226161.88029222
"268","PMAN","PESP",-0.458566666666667,-91.3908333333333,-0.272283333333333,-91.4353833333333,23971.5792289616
"269","PMOR","PESP",-0.7223,-91.3450666666667,-0.272283333333333,-91.4353833333333,53327.7411169863
"270","PROJ","PESP",-0.40895,-90.7155333333333,-0.272283333333333,-91.4353833333333,165765.606633539
"271","PVIC","PESP",-0.0453666666666667,-91.5430166666667,-0.272283333333333,-91.4353833333333,28203.9462428674
"272","RED","PESP",0.2706,-91.6264833333333,-0.272283333333333,-91.4353833333333,65956.0714244754
"273","SOMB","PESP",-0.350816666666667,-90.5685,-0.272283333333333,-91.4353833333333,180830.533797395
"274","STAFE","PESP",-0.799483333333333,-90.04745,-0.272283333333333,-91.4353833333333,253854.753211201
"275","SUAR","PESP",-1.35056666666667,-89.7104333333333,-0.272283333333333,-91.4353833333333,291593.482249261
"276","TOR","PESP",-1.01171666666667,-90.8767,-0.272283333333333,-91.4353833333333,155050.703503148
"277","BAR","PIN",-1.03875,-91.1563666666667,0.603883333333333,-90.7898333333333,212944.033983829
"278","CDOU","PIN",-0.302816666666667,-91.6517333333333,0.603883333333333,-90.7898333333333,148033.869524075
"279","CHAM","PIN",-0.469583333333333,-91.6111833333333,0.603883333333333,-90.7898333333333,168473.961291021
"280","CMAR","PIN",-0.00133333333333333,-91.22385,0.603883333333333,-90.7898333333333,83482.3183047131
"281","CORA","PIN",0.311316666666667,-89.97515,0.603883333333333,-90.7898333333333,101756.235031984
"282","CUEV","PIN",-1.25335,-90.3741,0.603883333333333,-90.7898333333333,216477.630324495
"283","DAPH","PIN",-0.4258,-90.3721166666667,0.603883333333333,-90.7898333333333,125034.853576517
"284","EGAS","PIN",-0.2596,-90.8687833333333,0.603883333333333,-90.7898333333333,97683.4206532497
"285","ELI","PIN",-0.59505,-91.0859,0.603883333333333,-90.7898333333333,201634.034572797
"286","GARD","PIN",-1.36546666666667,-89.6393166666667,0.603883333333333,-90.7898333333333,255924.711247112
"287","PCAL","PIN",0.286433333333333,-90.5018166666667,0.603883333333333,-90.7898333333333,48955.6452638677
"288","PESP","PIN",-0.272283333333333,-91.4353833333333,0.603883333333333,-90.7898333333333,148833.154070654
"289","PIN","PIN",0.603883333333333,-90.7898333333333,0.603883333333333,-90.7898333333333,0
"290","PLAZ","PIN",-0.567566666666667,-90.1736166666667,0.603883333333333,-90.7898333333333,147892.948681634
"291","PMAN","PIN",-0.458566666666667,-91.3908333333333,0.603883333333333,-90.7898333333333,172404.658408106
"292","PMOR","PIN",-0.7223,-91.3450666666667,0.603883333333333,-90.7898333333333,201760.820296131
"293","PROJ","PIN",-0.40895,-90.7155333333333,0.603883333333333,-90.7898333333333,122918.333199974
"294","PVIC","PIN",-0.0453666666666667,-91.5430166666667,0.603883333333333,-90.7898333333333,122977.250365667
"295","RED","PIN",0.2706,-91.6264833333333,0.603883333333333,-90.7898333333333,101875.904501931
"296","SOMB","PIN",-0.350816666666667,-90.5685,0.603883333333333,-90.7898333333333,112748.985767411
"297","STAFE","PIN",-0.799483333333333,-90.04745,0.603883333333333,-90.7898333333333,176951.474175837
"298","SUAR","PIN",-1.35056666666667,-89.7104333333333,0.603883333333333,-90.7898333333333,249550.463057528
"299","TOR","PIN",-1.01171666666667,-90.8767,0.603883333333333,-90.7898333333333,185900.704129302
"300","BAR","PLAZ",-1.03875,-91.1563666666667,-0.567566666666667,-90.1736166666667,132546.410221053
"301","CDOU","PLAZ",-0.302816666666667,-91.6517333333333,-0.567566666666667,-90.1736166666667,225362.595745641
"302","CHAM","PLAZ",-0.469583333333333,-91.6111833333333,-0.567566666666667,-90.1736166666667,230324.800436299
"303","CMAR","PLAZ",-0.00133333333333333,-91.22385,-0.567566666666667,-90.1736166666667,137396.795302408
