"","journeyID","pathPoints2_oct_surf","pathPoints2_oct_20","pathPoints2_oct_50","pathPoints2_year_surf","pathPoints2_year_20","pathPoints2_year_50","pathPoints2old_oct_surf","pathPoints2old_oct_20","pathPoints2old_oct_50","pathPoints2old_year_surf","pathPoints2old_year_20","pathPoints2old_year_50"
"201","GARD_CHAM",-0.0829974689662068,-0.00955559510107194,0.00953983867876115,-0.066267825607375,0.0054086892437356,0.0185472446594731,-0.0868517170178907,-0.00720971727053236,0.0128245716269189,-0.059953707057027,0.014192997665795,0.0251462204824503
"202","GARD_CMAR",-0.204731479172682,-0.123780602193328,-0.0413295536304023,-0.206081749098644,-0.114577481356515,-0.0448435056987872,-0.204797315140789,-0.122686464606861,-0.0467281350165413,-0.204828147567465,-0.113446840639299,-0.0472973693120433
"203","GARD_CORA",-0.215817590767581,-0.171790016613575,-0.0403499354067345,-0.263524650488412,-0.196357969050614,-0.0765683028135203,-0.211853728904571,-0.164772623276847,-0.0397867509720249,-0.256285000657323,-0.189227142005744,-0.0729371358976396
"204","GARD_CUEV",-0.0513660146042878,0.0195866243649027,-0.00105286691817673,-0.0476107314860988,0.0172984104944468,0.00758434953453702,-0.048054819605457,0.0188192263532036,-0.000424766973207159,-0.0413601615428913,0.018567180087793,0.00779986307248757
"205","GARD_DAPH",-0.15472428344442,-0.0835930276240916,0.0073880130860412,-0.193232425406905,-0.106452097120549,-0.0236107794486138,-0.15759999573851,-0.0872815368674241,-0.000280421353611624,-0.195113881202198,-0.110036219252793,-0.0313454884246673
"206","GARD_EGAS",-0.168197274879351,-0.0865508521326384,-0.0153544508541499,-0.178890974662099,-0.0906886587055697,-0.0282533944899321,-0.176501769837815,-0.0914148352293925,-0.0249824521713521,-0.185678699283712,-0.0944720192663349,-0.0334074951216865
"207","GARD_ELI",-0.0548231818710494,-0.00385642166977317,-0.0019690745988177,-0.0458335042013895,0.0046071328820162,0.00459292121101494,-0.0588922141135032,-0.00304753110749348,-0.0042110765338476,-0.0400776024936018,0.0121651087008026,0.00715071702903745
"208","GARD_PCAL",-0.233944693857523,-0.169338786292612,-0.0365639714221686,-0.278263352409414,-0.191955389707936,-0.0601673218077339,-0.235489655071096,-0.171088049563185,-0.0373789097077095,-0.279970674780531,-0.193413084310836,-0.0609928545593688
"209","GARD_PESP",-0.0598286533312706,-0.00425438950691293,-0.00102107301041216,-0.0528114028285933,0.00243650139973103,0.00410437341524713,-0.0595029254305216,-0.00227081588606991,-0.00335792965590225,-0.0448608047520515,0.00981724399984887,0.00616773161643097
"210","GARD_PIN",-0.246856563295008,-0.180166928225868,-0.0364014343419785,-0.292621708537581,-0.200491358702144,-0.0528498065594251,-0.238404926301981,-0.171945084637137,-0.042371089345592,-0.283929875344963,-0.192529168686561,-0.0576240326366786
