"","BAR.1","BAR.2","BAR.3","CDOU.1","CDOU.2","CDOU.3","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_53",0,0,0,332,111,1210,172,153,437,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,853,2876,1393,964,261,0,11,464,200,397,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,372,679,57,625,771,64,0,0,0,342,0,0,0,0,0
"ASV_54",170,306,383,0,0,0,0,0,0,0,0,0,0,0,0,82,0,6,0,0,0,0,286,252,227,659,122,200,0,129,0,0,52,0,92,294,0,0,0,133,0,0,0,144,0,0,0,0,74,0,0,4272,2286,1445,0,0,0,256,165,0,0,0,0,0,380,0,0,0,0
"ASV_56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,194,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,9703,355,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_57",47,17,0,16,0,0,26,0,0,0,0,0,576,61,20,0,0,35,0,88,14,0,0,0,0,0,0,182,0,7,22,75,0,0,0,6,0,19,182,161,102,318,24,17,0,0,26,0,0,0,0,20,69,10,1292,5758,437,3,95,1238,13,0,215,0,0,0,31,6,114
"ASV_58",620,201,615,258,38,0,376,47,11,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,43,111,0,2569,0,0,0,9,0,0,246,0,306,0,0,0,0,189,126,275,0,53,1398,0,0,0,1407,316,409,0,0,0,0,0,310,0,0,0,118,551,22,0,0,0
"ASV_59",0,0,0,174,247,919,100,59,91,0,0,64,12,139,72,0,43,0,0,0,0,0,0,71,0,14,0,0,0,0,536,0,0,20,53,381,0,0,0,8,308,835,0,0,0,0,0,52,0,0,0,2993,681,206,1087,548,43,20,0,57,39,0,0,610,101,0,0,0,19
"ASV_60",92,56,19,0,0,0,0,0,0,9,0,71,0,0,49,102,0,0,0,0,0,391,0,235,0,59,0,0,0,721,0,0,8,0,229,0,126,65,0,170,51,294,755,1934,182,0,205,0,0,0,0,1556,827,1160,0,461,0,242,0,0,0,0,0,0,0,294,0,0,28
"ASV_61",0,0,0,0,9,0,0,0,0,41,0,62,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,39,76,150,0,0,0,1208,193,313,2571,2150,1418,0,0,0,0,0,0,0,0,0,480,63,0,0,0,0,0,660,32,0,0,28,605,0,0,0,0,76
"ASV_62",0,0,0,0,8843,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,141,0,0,0,0,0,0,0,218,0,0,0,0,0,0,127,0,0,190,512,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,94,76,320,390,3201,3139,1690,0,0,81,0,0,0
"ASV_65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,166,319,23,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,4054,2944,469,178,259,0,0,0,0,0,0,0,0,0,55,0,0,0
"ASV_66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_67",0,0,5,40,0,536,51,132,189,0,0,0,0,0,0,38,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2545,0,577,0,0,0,186,78,60,178,373,0,1198,567,575,0,0,0,122,12,0,0,0,0,169,0,0,135,62,176,0,0,88,106,10,0
"ASV_68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3754,3385,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,89,0,0,0,0,0,0,0,0,0
"ASV_69",171,121,77,0,0,0,0,0,0,0,0,0,180,178,132,0,0,62,0,0,0,0,859,0,0,0,0,1863,3468,5,573,195,203,0,0,0,126,46,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_70",0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,3828,441,179,528,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,65,413,0,0,0,0,0,0,0,1133,200,388,400,0,0,0,348,0,0,0,0
"ASV_71",0,4,0,15,27,101,0,0,0,147,117,141,67,0,0,0,0,0,0,0,0,0,0,0,97,0,0,321,252,422,0,0,0,0,0,149,176,294,108,63,0,316,333,1233,0,0,0,0,0,25,0,111,0,0,364,1319,0,0,0,0,577,162,11,807,488,145,0,0,0
"ASV_72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,105,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6955,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_73",262,127,150,367,80,76,396,233,1047,17,127,125,0,355,116,0,4,0,0,0,0,218,0,0,4,0,0,0,0,0,115,6,0,0,0,404,50,0,0,0,0,342,153,307,23,0,430,182,0,9,85,85,0,93,310,1122,120,0,197,0,39,0,16,0,0,0,309,0,0
"ASV_74",0,0,0,0,4,0,25,0,13,0,0,0,0,0,0,0,0,0,168,126,0,0,0,0,298,411,1958,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,4226
"ASV_75",0,0,0,0,0,0,1556,3657,2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_76",0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,24,0,0,0,0,4678,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,1095,164,442,0,779,174
"ASV_77",0,0,0,0,55,85,0,0,85,37,100,0,85,121,215,66,0,0,348,134,24,0,218,0,0,0,3,365,0,0,1627,86,0,0,170,90,0,174,268,439,62,326,290,0,12,0,0,0,240,149,84,65,0,0,0,0,0,347,94,281,658,0,172,0,0,0,0,0,0
"ASV_78",0,0,0,0,38,652,0,23,94,0,0,0,0,0,0,0,0,559,276,675,50,28,0,348,0,0,0,0,0,0,69,0,0,6,0,25,82,58,47,342,192,261,0,0,0,0,65,0,0,0,15,0,0,6,630,1516,38,0,0,133,308,0,860,0,0,0,0,76,0
"ASV_79",1767,827,1662,648,227,0,144,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,161,0,135,0,0,0,0,0,0,56,0,0,0,0,0,0,0,391,0,142,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0
