"","BAR.1","BAR.2","BAR.3","CDOU.2","CDOU.3","CDOU1.REDO.U","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_63",1472,1628,2966,3136,0,357,6585,1831,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,165,294,0,0,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_64",1161,1204,0,0,0,0,0,0,0,0,0,0,0,73,856,0,0,0,0,0,0,0,1604,0,0,0,0,3868,6480,747,588,1754,1116,0,0,0,203,127,104,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,323,0,0,0,0
"ASV_65",0,0,0,0,1907,148,0,0,637,0,119,0,0,251,0,1068,291,1296,62,490,325,632,0,0,0,0,0,0,0,0,0,0,0,29,185,0,56,539,26,639,2022,0,466,0,0,0,1123,501,254,577,189,0,0,116,1806,65,559,203,0,960,1288,0,1113,0,0,463,0,1219,123
"ASV_66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,184,174,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,180,108,8913,5823,3998,336,0,0,0,0,0,127,0,0,0,490,507,0,246,0
"ASV_67",0,0,0,0,716,0,2715,897,700,0,0,0,0,0,0,497,0,781,14,0,32,0,0,0,451,2289,1220,0,0,0,0,0,0,0,235,7164,0,0,0,0,54,0,436,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,306,0,582,0,0,0,0,404,0
"ASV_68",0,0,0,99,0,0,0,0,0,0,545,290,417,135,170,0,0,0,3495,843,1023,0,0,0,0,0,0,1219,2210,364,306,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,386,216,0,408,0,0,0,127,206,0,0,174,5187,704,0,0,463,0,0,0
"ASV_69",0,0,0,133,751,0,0,169,0,408,729,211,154,0,1146,1005,0,720,132,117,207,0,0,0,13,170,0,0,0,0,2258,1734,621,0,0,333,38,448,630,2106,323,880,0,26,0,0,0,0,1315,385,122,0,0,0,287,0,0,0,0,0,101,0,341,0,0,269,0,0,0
"ASV_70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,40,270,0,0,130,7375,6685,3399,0,0,0,0,0,0
"ASV_71",0,0,0,87,0,77,0,163,0,459,385,97,0,99,0,1023,0,0,0,0,0,0,0,0,0,0,0,3059,326,0,0,0,0,0,0,55,114,519,310,0,87,444,1884,25,230,0,0,0,0,0,0,0,0,171,809,0,0,0,0,0,996,487,363,574,3722,1202,0,0,0
"ASV_72",3632,3856,3350,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,8,42,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,327,289,2280,0,16,367,0,0,0,0,155,47,0,491,0,0,0,0,228,0,1512,0,0,108,0,0,261,0,0,0
"ASV_73",0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,16,0,0,0,0,0,0,0,298,2995,0,0,0,0,0,0,0,0,0,0,8152,4807,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,438,0,96,0
"ASV_74",0,1687,0,720,311,91,319,788,905,0,909,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,267,2367,0,0,0,79,0,0,0,279,0,0,0,59,199,0,3076,0,187,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4664,0
"ASV_75",0,0,0,0,209,89,855,561,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,86,0,0,0,0,0,0,0,124,1861,341,0,0,0,0,0,0,576,12,0,3558,2398,2322,0,0,0,0,0,0,46,17,0,0,0,0,0,0,0,0,0,0,0,2357,0
