"","BAR.1","BAR.2","BAR.3","CDOU.2","CDOU.3","CDOU1.REDO.U","CHAM.1","CHAM.2","CHAM.3","CMAR.1","CMAR.2","CMAR.3","CORA.1","CORA.2","CORA.3","CUEV.1","CUEV.2","CUEV.3","DAPH.1","DAPH.2","DAPH.3","EGAS.1","EGAS.2","EGAS.3","ELI.1","ELI.2","ELI.3","GARD.1","GARD.2","GARD.3","PCAL.1","PCAL.2","PCAL.3","PESP.1","PESP.2","PESP.3","PIN.1","PIN.2","PIN.3","PLAZ.1","PLAZ.2","PLAZ.3","PMAN.1","PMAN.2","PMAN.3","PMOR.1","PMOR.2","PMOR.3","PROJ.1","PROJ.2","PROJ.3","PVIC.1","PVIC.2","PVIC.3","RED.1","RED.2","RED.3","SOMB.1","SOMB.2","SOMB.3","STAFE.1","STAFE.2","STAFE.3","SUAR.1","SUAR.2","SUAR.3","TOR.1","TOR.2","TOR.3"
"ASV_62",1501,211,1594,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,294,0,0,0,537,0,13,0,0,0,15994,41,647,0,0,0,0,0,0,722,586,210,0,0,0,173,0,0,0,0,0,834,0,0,0,0,0
"ASV_628",0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,120,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_63",1799,1628,3059,3136,0,357,6585,1831,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,165,294,0,0,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_64",1236,1204,0,0,0,0,0,0,0,0,0,0,0,144,856,0,0,0,0,0,0,0,1604,0,0,0,0,3868,6480,747,588,1754,1116,0,0,0,203,127,104,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2115,323,0,0,0,0
"ASV_646",0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_65",0,0,0,0,1907,148,0,0,637,0,119,0,0,251,0,1068,291,1296,62,490,325,632,0,0,0,0,0,0,0,0,0,0,0,29,185,0,56,539,26,639,2022,0,466,0,0,0,1123,501,254,577,189,0,0,116,1806,65,559,203,0,960,1533,0,1113,0,0,463,0,1293,123
"ASV_654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0
"ASV_657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0
"ASV_66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,184,174,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,180,108,9533,5823,3998,336,0,0,0,0,0,127,0,0,0,490,507,0,246,0
"ASV_661",0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
"ASV_662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_67",0,0,0,0,886,0,2715,968,700,0,0,0,0,0,0,497,0,781,14,0,32,0,0,0,451,2357,1220,0,0,0,0,0,0,0,235,7469,0,0,0,0,54,0,436,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0,0,390,0,582,0,0,0,0,404,0
"ASV_670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_671",0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_677",0,0,0,0,5,0,0,77,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
"ASV_68",0,0,0,99,0,0,0,0,0,0,545,290,417,135,170,0,0,0,3495,843,1023,0,0,0,0,0,0,1219,2210,364,306,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,386,216,0,408,0,0,0,127,206,0,0,174,5187,704,0,0,463,0,0,0
"ASV_681",0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_682",0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_69",0,0,0,133,751,0,0,169,0,408,729,211,154,0,1146,1005,0,984,132,117,207,0,0,0,13,170,0,0,0,0,2258,1845,621,0,0,333,38,448,630,2235,323,880,0,26,0,0,0,0,1315,385,122,0,0,0,287,0,0,0,0,0,101,0,341,0,0,269,0,0,0
"ASV_7",0,0,0,658,3176,178,2927,1730,787,14843,8997,22922,0,52,152,7121,1078,6825,17498,13873,15792,20893,1792,8177,24,1093,0,1360,2038,706,976,2302,640,831,2779,1090,1788,975,709,6432,4177,6711,0,0,467,2586,13771,4517,10131,10792,7701,789,0,0,79,0,0,9206,47479,8260,3787,2108,2894,13202,3198,8290,0,14518,0
"ASV_70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,40,270,0,0,130,7375,6685,3399,0,0,0,0,0,0
